Date,STOXX,BTC,LIBOR,SP500
24-3-2014,324.390015,557.16833,0.0903,1857.62
25-3-2014,328.570007,573.34998,0.0904,1858.83
26-3-2014,330.929993,572.4916099999999,0.0903,1859.33
27-3-2014,331.399994,570.54833,0.0908,1859.45
28-3-2014,333.76001,509.70665,0.0899,1860.77
31-3-2014,334.309998,472.4783,0.0855,1862.31
1-4-2014,336.350006,464.88,0.0884,1862.49
2-4-2014,336.929993,480.16580999999996,0.0874,1862.76
3-4-2014,337.25,427.87498,0.0881,1863.4
4-4-2014,339.179993,432.99715999999995,0.0884,1864.78
7-4-2014,334.959991,456.46948,0.0865,1864.85
8-4-2014,333.890015,452.81,0.0885,1865.09
9-4-2014,335.160004,450.48082999999997,0.0886,1865.62
10-4-2014,333.410004,426.98332999999997,0.0885,1866.52
11-4-2014,328.769989,374.59166,0.087,1867.61
14-4-2014,329.790009,409.03166,0.087,1867.63
15-4-2014,326.579987,455.28315999999995,0.088,1867.72
16-4-2014,330.820007,517.0966599999999,0.0907,1868.2
17-4-2014,332.429993,522.455,0.0905,1868.99
22-4-2014,337.02999900000003,497.65000999999995,0.0915,1870.85
23-4-2014,335.049988,487.84,0.0898,1871.89
24-4-2014,336.130005,487.11332999999996,0.0889,1872.01
25-4-2014,333.5,469.08815999999996,0.0897,1872.18
28-4-2014,334.130005,426.78166,0.0895,1872.25
29-4-2014,338.119995,432.60497999999995,0.0882,1872.34
30-4-2014,337.890015,444.85668,0.0876,1872.83
2-5-2014,337.76001,453.59833,0.0885,1873.91
5-5-2014,336.890015,432.78747999999996,NaN,1874.74
6-5-2014,336.040009,418.61831,0.0905,1875.39
7-5-2014,336.02999900000003,428.42593,0.0891,1875.63
8-5-2014,339.559998,442.57665999999995,0.0885,1877.03
9-5-2014,338.540009,439.04,0.0886,1877.08
12-5-2014,340.959991,434.27,0.0894,1877.17
13-5-2014,341.890015,437.0,0.0898,1877.7
14-5-2014,341.589996,438.88,0.0879,1877.86
15-5-2014,338.5,445.045,0.0893,1878.04
16-5-2014,338.98999,443.18,0.0884,1878.21
19-5-2014,338.51001,444.73832999999996,0.0875,1878.33
20-5-2014,338.320007,455.65333,0.0879,1878.48
21-5-2014,340.339996,489.86999000000003,0.088,1878.61
22-5-2014,341.019989,490.18665999999996,0.0883,1879.55
23-5-2014,341.76001,522.31,0.0877,1880.05
27-5-2014,344.47000099999997,581.51,0.0884,1880.33
28-5-2014,344.290009,572.4483299999999,0.0885,1881.14
30-5-2014,344.23999,571.845,0.0866,1881.77
2-6-2014,345.079987,634.98333,0.089,1882.95
3-6-2014,343.480011,660.2466599999999,0.088,1883.68
4-6-2014,343.559998,627.79833,0.09,1883.95
5-6-2014,344.98999,642.89166,0.0925,1884.09
6-6-2014,347.299988,652.52666,0.0909,1884.66
10-6-2014,349.709991,644.085,0.0893,1885.52
11-6-2014,347.73999,642.00666,0.0888,1886.76
12-6-2014,347.829987,632.55,0.0919,1888.03
13-6-2014,347.070007,585.48333,0.0922,1888.53
16-6-2014,345.519989,589.06666,0.0921,1888.77
17-6-2014,346.420013,592.25666,0.094,1890.28
18-6-2014,346.130005,610.41333,0.096,1890.9
19-6-2014,348.149994,601.88666,0.095,1892.49
20-6-2014,348.089996,594.09333,0.0955,1893.21
23-6-2014,346.309998,592.405,0.0953,1893.36
24-6-2014,345.570007,584.64166,0.096,1895.58
25-6-2014,341.940002,575.905,0.0955,1896.65
26-6-2014,341.859985,571.76666,0.0962,1897.45
27-6-2014,341.97000099999997,582.43166,0.0966,1900.53
30-6-2014,341.859985,597.51333,0.0936,1903.03
1-7-2014,344.890015,647.1224900000001,0.095,1903.63
2-7-2014,345.679993,637.85625,0.0959,1904.01
3-7-2014,348.910004,642.65125,0.0954,1906.13
7-7-2014,344.799988,631.29875,0.0945,1906.9
8-7-2014,339.98999,621.2424900000001,0.0941,1909.57
9-7-2014,339.959991,620.72,0.0942,1909.78
10-7-2014,336.369995,621.3075,0.094,1911.91
11-7-2014,336.910004,616.8312400000001,0.0939,1912.53
14-7-2014,339.790009,621.4249900000001,0.0934,1913.85
15-7-2014,338.420013,618.73875,0.0942,1915.45
16-7-2014,342.97000099999997,619.8075,0.0924,1917.78
17-7-2014,339.73999,614.68875,0.0925,1917.83
18-7-2014,339.660004,623.4974900000001,0.093,1920.03
21-7-2014,337.950012,617.9612400000001,0.0915,1920.03
22-7-2014,342.440002,622.10749,0.0925,1920.21
23-7-2014,342.859985,618.4475,0.092,1920.24
24-7-2014,344.329987,617.6875,0.0913,1921.22
25-7-2014,341.950012,602.93125,0.0915,1921.27
