Date,STOXX
10-9-2014,344.700012
11-9-2014,344.269989
12-9-2014,344.269989
15-9-2014,343.910004
16-9-2014,342.839996
17-9-2014,344.390015
18-9-2014,347.779999
19-9-2014,348.519989
22-9-2014,346.690002
23-9-2014,341.890015
24-9-2014,344.350006
25-9-2014,341.440002
26-9-2014,342.299988
29-9-2014,340.98999
30-9-2014,343.079987
1-10-2014,340.220001
2-10-2014,332.049988
3-10-2014,335.190002
6-10-2014,336
7-10-2014,330.850006
8-10-2014,328
9-10-2014,326.670013
10-10-2014,321.619995
13-10-2014,321.559998
14-10-2014,321.529999
15-10-2014,311.359985
16-10-2014,310.029999
17-10-2014,318.679993
20-10-2014,317.01001
21-10-2014,323.73999
22-10-2014,326.109985
23-10-2014,328.26001
24-10-2014,327.170013
27-10-2014,325.100006
28-10-2014,328.25
29-10-2014,328.779999
30-10-2014,330.709991
31-10-2014,336.799988
3-11-2014,334.25
4-11-2014,330.880005
5-11-2014,336.359985
6-11-2014,337.079987
7-11-2014,335.25
10-11-2014,337.709991
11-11-2014,338.929993
12-11-2014,335.089996
13-11-2014,335.859985
14-11-2014,335.630005
17-11-2014,337.25
18-11-2014,339.299988
19-11-2014,339.149994
20-11-2014,338.279999
21-11-2014,345.23999
24-11-2014,345.720001
25-11-2014,346.279999
26-11-2014,346.279999
27-11-2014,347.48999
28-11-2014,347.25
1-12-2014,345.640015
2-12-2014,347.369995
3-12-2014,349.339996
4-12-2014,344.839996
5-12-2014,350.970001
8-12-2014,348.609985
9-12-2014,340.480011
10-12-2014,339.320007
11-12-2014,339.309998
12-12-2014,330.540009
15-12-2014,323.290009
16-12-2014,328.880005
17-12-2014,329.339996
18-12-2014,339.049988
19-12-2014,340.299988
22-12-2014,341.970001
23-12-2014,344.059998
29-12-2014,null
30-12-2014,341.019989
5-1-2015,333.98999
6-1-2015,331.609985
7-1-2015,333.200012
8-1-2015,342.350006
9-1-2015,337.929993
12-1-2015,339.869995
13-1-2015,344.769989
14-1-2015,339.670013
15-1-2015,348.450012
16-1-2015,352.399994
19-1-2015,353.179993
20-1-2015,355.959991
21-1-2015,358.119995
22-1-2015,364.049988
23-1-2015,370.369995
