Date,FX
21-8-2014,1.326049
22-8-2014,1.327933
25-8-2014,1.319871
26-8-2014,1.318896
27-8-2014,1.31702
28-8-2014,1.319087
29-8-2014,1.318496
1-9-2014,1.312784
2-9-2014,1.313198
3-9-2014,1.313198
4-9-2014,1.315097
5-9-2014,1.293276
8-9-2014,1.295337
9-9-2014,1.289108
10-9-2014,1.294197
11-9-2014,1.291706
12-9-2014,1.292357
15-9-2014,1.296008
16-9-2014,1.293979
17-9-2014,1.295908
18-9-2014,1.285
19-9-2014,1.292006
22-9-2014,1.284142
23-9-2014,1.285149
24-9-2014,1.285397
25-9-2014,1.277808
26-9-2014,1.275705
29-9-2014,1.267315
30-9-2014,1.269084
1-10-2014,1.262834
2-10-2014,1.262419
3-10-2014,1.267058
6-10-2014,1.251361
7-10-2014,1.264606
8-10-2014,1.266801
9-10-2014,1.274307
10-10-2014,1.268907
13-10-2014,1.263983
14-10-2014,1.272394
15-10-2014,1.263903
16-10-2014,1.282166
17-10-2014,1.280442
20-10-2014,1.274957
21-10-2014,1.279525
22-10-2014,1.271472
23-10-2014,1.264143
24-10-2014,1.265406
27-10-2014,1.267668
28-10-2014,1.270148
29-10-2014,1.273837
30-10-2014,1.26328
31-10-2014,1.261336
3-11-2014,1.250313
4-11-2014,1.249594
5-11-2014,1.255256
6-11-2014,1.248003
7-11-2014,1.238007
10-11-2014,1.246137
11-11-2014,1.242993
12-11-2014,1.247583
13-11-2014,1.242993
14-11-2014,1.247598
17-11-2014,1.251846
18-11-2014,1.244896
19-11-2014,1.253337
20-11-2014,1.254076
21-11-2014,1.254501
24-11-2014,1.237501
25-11-2014,1.243317
26-11-2014,1.248065
27-11-2014,1.250594
28-11-2014,1.246199
1-12-2014,1.243828
2-12-2014,1.247007
3-12-2014,1.23885
4-12-2014,1.231664
5-12-2014,1.238666
8-12-2014,1.229407
9-12-2014,1.231512
10-12-2014,1.239495
11-12-2014,1.247396
12-12-2014,1.239495
15-12-2014,1.246354
16-12-2014,1.244354
17-12-2014,1.251204
18-12-2014,1.233898
19-12-2014,1.229045
22-12-2014,1.222599
23-12-2014,1.222374
24-12-2014,1.217493
25-12-2014,1.219854
26-12-2014,1.221001
29-12-2014,1.216945
30-12-2014,1.215347
31-12-2014,1.216205
1-1-2015,1.209863
2-1-2015,1.208941
5-1-2015,1.194643
6-1-2015,1.193902
7-1-2015,1.187536
8-1-2015,1.1836
9-1-2015,1.179607
12-1-2015,1.18707
13-1-2015,1.183152
14-1-2015,1.177829
15-1-2015,1.178592
16-1-2015,1.163738
19-1-2015,1.156604
20-1-2015,1.159797
21-1-2015,1.154694
22-1-2015,1.161535
23-1-2015,1.134675
26-1-2015,1.112545
27-1-2015,1.124771
28-1-2015,1.136738
29-1-2015,1.128146
30-1-2015,1.133556
2-2-2015,1.130902
3-2-2015,1.134173
4-2-2015,1.145738
5-2-2015,1.131875
6-2-2015,1.147197
9-2-2015,1.131439
10-2-2015,1.132695
11-2-2015,1.132195
12-2-2015,1.131196
13-2-2015,1.140394
16-2-2015,1.140004
17-2-2015,1.133401
18-2-2015,1.140472
19-2-2015,1.140004
20-2-2015,1.136674
23-2-2015,1.138148
24-2-2015,1.133299
25-2-2015,1.133903
26-2-2015,1.136364
27-2-2015,1.120536
2-3-2015,1.116196
3-3-2015,1.117905
4-3-2015,1.118218
5-3-2015,1.108205
6-3-2015,1.103205
9-3-2015,1.084599
10-3-2015,1.083341
11-3-2015,1.07087
12-3-2015,1.054875
13-3-2015,1.062631
16-3-2015,1.048163
17-3-2015,1.057295
18-3-2015,1.059805
19-3-2015,1.084999
20-3-2015,1.066894
23-3-2015,1.082661
24-3-2015,1.094499
25-3-2015,1.090203
26-3-2015,1.096047
27-3-2015,1.088637
30-3-2015,1.088495
31-3-2015,1.083025
1-4-2015,1.073814
2-4-2015,1.076994
3-4-2015,1.087075
6-4-2015,1.100134
7-4-2015,1.093482
8-4-2015,1.082415
9-4-2015,1.078528
10-4-2015,1.066906
13-4-2015,1.060985
14-4-2015,1.057295
15-4-2015,1.064713
16-4-2015,1.06768
17-4-2015,1.075558
20-4-2015,1.081023
21-4-2015,1.074749
22-4-2015,1.074172
23-4-2015,1.072582
24-4-2015,1.081502
27-4-2015,1.086897
28-4-2015,1.087796
29-4-2015,1.096912
30-4-2015,1.111432
1-5-2015,1.121466
4-5-2015,1.118593
5-5-2015,1.114914
6-5-2015,1.118631
7-5-2015,1.134147
8-5-2015,1.124695
11-5-2015,1.119407
12-5-2015,1.114442
13-5-2015,1.122146
14-5-2015,1.135048
15-5-2015,1.140498
18-5-2015,1.144505
19-5-2015,1.132618
20-5-2015,1.114666
21-5-2015,1.110075
22-5-2015,1.111185
25-5-2015,1.0993
26-5-2015,1.097117
27-5-2015,1.088886
28-5-2015,1.090001
29-5-2015,1.096035
1-6-2015,1.095794
2-6-2015,1.092299
3-6-2015,1.115001
4-6-2015,1.125784
5-6-2015,1.120787
8-6-2015,1.110815
9-6-2015,1.128095
10-6-2015,1.129905
11-6-2015,1.131196
12-6-2015,1.124063
15-6-2015,1.121994
16-6-2015,1.127701
17-6-2015,1.124202
18-6-2015,1.136997
19-6-2015,1.137074
22-6-2015,1.137294
23-6-2015,1.134906
24-6-2015,1.117219
25-6-2015,1.120699
26-6-2015,1.120298
29-6-2015,1.097502
30-6-2015,1.122297
1-7-2015,1.113499
2-7-2015,1.103363
3-7-2015,1.108697
6-7-2015,1.099505
7-7-2015,1.104899
8-7-2015,1.100994
9-7-2015,1.107101
10-7-2015,1.106305
13-7-2015,1.112904
14-7-2015,1.099046
15-7-2015,1.1008
16-7-2015,1.094355
17-7-2015,1.088601
20-7-2015,1.083025
21-7-2015,1.083541
22-7-2015,1.093996
23-7-2015,1.092705
24-7-2015,1.098901
27-7-2015,1.097237
28-7-2015,1.109004
29-7-2015,1.106599
30-7-2015,1.098406
31-7-2015,1.093924
3-8-2015,1.0969
4-8-2015,1.095602
5-8-2015,1.088898
6-8-2015,1.09031
7-8-2015,1.092705
10-8-2015,1.096503
11-8-2015,1.101698
12-8-2015,1.104204
13-8-2015,1.116096
14-8-2015,1.116096
17-8-2015,1.109299
18-8-2015,1.1078
19-8-2015,1.103083
20-8-2015,1.111803
21-8-2015,1.123697
24-8-2015,1.137695
25-8-2015,1.158306
26-8-2015,1.155095
27-8-2015,1.134005
28-8-2015,1.124796
31-8-2015,1.121403
1-9-2015,1.122586
2-9-2015,1.129344
3-9-2015,1.121604
4-9-2015,1.112595
7-9-2015,1.1152
8-9-2015,1.116395
9-9-2015,1.120737
10-9-2015,1.12207
11-9-2015,1.129089
14-9-2015,1.134404
15-9-2015,1.130761
16-9-2015,1.12718
